"period_type","start_date","end_date","salesman_fio","chif_fio","sales_count","sales_sum","max_overcharge_item","max_overcharge_percent"
week,2018-10-29 00:00:00.000,2018-11-04 00:00:00.000,Косма Ефросиния Тимуровна,Янушко Анастасия Антониновна,1,38771,Упаковка европалет,27.201
week,2018-10-29 00:00:00.000,2018-11-04 00:00:00.000,Лашкина Инесса Святославовна,Коченкова Розалия Федоровна,1,592836,"БСТ B15 П3,П4",43.197
week,2018-10-29 00:00:00.000,2018-11-04 00:00:00.000,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,895200,БСТ B45 П5 F1300 W16,60.143
week,2018-10-29 00:00:00.000,2018-11-04 00:00:00.000,,,27,16736725,БСТ B35 П5 F1300 W12,74.120
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1033326,Раствор М100 Пк3,43.120
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,787776,БСТ B45 П5 F1300 W16,40.926
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,664224,Раствор кладочный М100 Пк3,76.655
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,824865,БСТ B60 П5 F1300 W20,36.341
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Касатый Ника Федотовна,Касатый Ника Федотовна,3,832672,Доставка,42.799
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,1,837360,Пусковая смесь,33.978
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Кокоткин Аркадий Анатолиевич,Кокоткин Аркадий Анатолиевич,1,822564,БСТ B25 П4 F1200 W10,65.173
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Косма Ефросиния Тимуровна,Янушко Анастасия Антониновна,1,38771,Упаковка европалет,27.201
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Крыжов Дмитрий Прокофиевич,Янушко Анастасия Антониновна,1,638928,"БСТ B12,5 П3,П4",56.985
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Лашкина Инесса Святославовна,Коченкова Розалия Федоровна,5,2473620,"БСТ B12,5 П3,П4",69.682
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Пряхина Александра Мефодиевна,Коченкова Розалия Федоровна,1,695252,"Мелкозернистый бетон БСМ B25 П3,П4",60.938
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Путина Юлия Петровна,Янушко Анастасия Антониновна,2,589228,Упаковка европалет,54.800
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Розенбаха Агния Давидовна,Касатый Ника Федотовна,1,910767,БСТ B50 П5 F1300 W18,58.394
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Румянцева Варвара Всеволодовна,Кокоткин Аркадий Анатолиевич,3,1779114,БСТ B35 П5 F1300 W12,46.261
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Фарест Александр Вячеславович,Касатый Ника Федотовна,3,858756,БСТ B30 П4 F1200 W10,52.714
month,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,895200,БСТ B45 П5 F1300 W16,60.143
